ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
14034194,JJ495837,2025-11-15 23:45:00,083XX S WHIPPLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,835,8,18.0,70.0,14,1157554.0,1849265.0,2025,11/23/2025 03:42:58 PM,41.742136302,-87.698306169,"(41.742136302, -87.698306169)"
14030246,JJ490906,2025-11-15 23:42:00,040XX N LINCOLN AVE,031A,ROBBERY,ARMED - HANDGUN,BANK,False,False,1911,19,47.0,5.0,03,1162071.0,1926996.0,2025,11/23/2025 03:42:58 PM,41.95534547,-87.679587676,"(41.95534547, -87.679587676)"
14030087,JJ490931,2025-11-15 23:40:00,059XX N KENMORE AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,2433,24,48.0,77.0,08A,1168162.0,1939806.0,2025,11/23/2025 03:42:58 PM,41.990366806,-87.656824173,"(41.990366806, -87.656824173)"
14030198,JJ491021,2025-11-15 23:40:00,078XX S MORGAN ST,0810,THEFT,OVER $500,APARTMENT,False,False,612,6,17.0,71.0,06,1171004.0,1852851.0,2025,11/23/2025 03:42:58 PM,41.751693834,-87.648920921,"(41.751693834, -87.648920921)"
14030436,JJ491214,2025-11-15 23:40:00,078XX S PAULINA ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,611,6,17.0,71.0,07,1166375.0,1852664.0,2025,11/23/2025 03:42:58 PM,41.751280473,-87.665889382,"(41.751280473, -87.665889382)"
14031226,JJ492298,2025-11-15 23:30:00,0000X W DIVISION ST,0820,THEFT,$500 AND UNDER,BAR OR TAVERN,False,False,1824,18,2.0,8.0,06,1175901.0,1908369.0,2025,11/23/2025 03:42:58 PM,41.903931582,-87.629308553,"(41.903931582, -87.629308553)"
14030081,JJ490901,2025-11-15 23:30:00,036XX W GRENSHAW ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SIDEWALK,True,False,1133,11,24.0,29.0,08B,1152249.0,1894796.0,2025,11/23/2025 03:42:58 PM,41.867185658,-87.71654668,"(41.867185658, -87.71654668)"
14035485,JJ497371,2025-11-15 23:30:00,021XX S SPRINGFIELD AVE,0710,THEFT,THEFT FROM MOTOR VEHICLE,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",False,False,1014,10,24.0,29.0,06,1150726.0,1889160.0,2025,11/23/2025 03:42:58 PM,41.851749693,-87.722285124,"(41.851749693, -87.722285124)"
14030139,JJ490920,2025-11-15 23:25:00,031XX W 63RD ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,823,8,15.0,66.0,07,1156719.0,1862694.0,2025,11/23/2025 03:42:58 PM,41.779004438,-87.701003946,"(41.779004438, -87.701003946)"
14030092,JJ490912,2025-11-15 23:22:00,056XX S SANGAMON ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,712,7,16.0,68.0,15,1170942.0,1867328.0,2025,11/23/2025 03:42:58 PM,41.791421836,-87.648725826,"(41.791421836, -87.648725826)"
